date,county,prop_omicron_cases
2022-04-07,Sonoma,0.9950383257328493
2022-04-07,Stanislaus,0.990267420759832
2022-04-07,Sutter,0.993229351994541
2022-04-07,Tehama,0.9886898524952922
2022-04-07,Trinity,0.9896430615301162
2022-04-07,Tulare,0.9896910109277844
2022-04-07,Tuolumne,0.9920219211702306
2022-04-07,Ventura,0.9964897671733011
2022-04-07,Yolo,0.9957722219023949
2022-04-07,Yuba,0.994013536206941
2022-04-08,Alameda,0.996201246643685
2022-04-08,Alpine,0.9938336128731283
2022-04-08,Amador,0.9908968410881129
2022-04-08,Butte,0.9967095245766959
2022-04-08,Calaveras,0.9943855760257254
2022-04-08,Colusa,0.9930305587176113
2022-04-08,Contra Costa,0.9943960784710215
2022-04-08,Del Norte,0.9939363601405715
2022-04-08,El Dorado,0.9939694098476318
2022-04-08,Fresno,0.9925732199262857
2022-04-08,Glenn,0.9940484249995433
2022-04-08,Humboldt,0.9941550633194661
2022-04-08,Imperial,0.9934471309570515
2022-04-08,Inyo,0.9954030248185158
2022-04-08,Kern,0.994058097927132
2022-04-08,Kings,0.9921013607356154
2022-04-08,Lake,0.9918649087752922
2022-04-08,Lassen,0.9951866625055367
2022-04-08,Los Angeles,0.998784090965618
2022-04-08,Madera,0.9921657596589183
2022-04-08,Marin,0.9953682327943013
2022-04-08,Mariposa,0.9914528429385154
2022-04-08,Mendocino,0.9880100428778388
2022-04-08,Merced,0.9935037945950065
2022-04-08,Mono,0.9904519162996841
2022-04-08,Monterey,0.9945027892485385
2022-04-08,Napa,0.994233046666942
2022-04-08,Nevada,0.9924183091223485
2022-04-08,Orange,0.9960181696623133
2022-04-08,Placer,0.9930899031161243
2022-04-08,Plumas,0.993002669520375
2022-04-08,Riverside,0.9936973018578814
2022-04-08,Sacramento,0.9947028716180335
2022-04-08,San Benito,0.9958350984088369
2022-04-08,San Bernardino,0.9964072134593384
2022-04-08,San Diego,0.998434860979776
2022-04-08,San Francisco,0.994109424169994
2022-04-08,San Joaquin,0.9950492059645033
2022-04-08,San Luis Obispo,0.9953656356225379
2022-04-08,San Mateo,0.9970794254267368
2022-04-08,Santa Barbara,0.9943246272845371
2022-04-08,Santa Clara,0.998430435606389
2022-04-08,Santa Cruz,0.9960102127009726
2022-04-08,Shasta,0.9937511529471884
2022-04-08,Sierra,0.99246061487083
2022-04-08,Siskiyou,0.9951882437140431
2022-04-08,Solano,0.9945232082388243
2022-04-08,Sonoma,0.9952969637187069
2022-04-08,Stanislaus,0.9907724504352354
2022-04-08,Sutter,0.9935816372943044
2022-04-08,Tehama,0.9892757038720315
2022-04-08,Trinity,0.9901796469681877
2022-04-08,Tulare,0.9902256655604623
2022-04-08,Tuolumne,0.9924365445301919
2022-04-08,Ventura,0.9966729988890732
2022-04-08,Yolo,0.9959927445548452
2022-04-08,Yuba,0.9943252353806502
2022-04-09,Alameda,0.9963994865408893
2022-04-09,Alpine,0.9941541411075109
2022-04-09,Amador,0.9913693972260522
2022-04-09,Butte,0.9968813219026862
2022-04-09,Calaveras,0.9946780175783099
2022-04-09,Colusa,0.9933928591598493
2022-04-09,Contra Costa,0.9946880184634929
2022-04-09,Del Norte,0.9942519418434176
2022-04-09,El Dorado,0.9942834164188611
2022-04-09,Fresno,0.9929594658542368
2022-04-09,Glenn,0.9943582648039982
2022-04-09,Humboldt,0.9944594685876057
